time,vehicle_id,event
2015-02-01 00:00:00+00,V17131,pickup
2015-02-01 00:00:00+00,V21289,pickup
2015-02-01 00:01:00+00,V18903,pickup
2015-02-01 00:01:00+00,V21044,pickup
2015-02-01 00:01:00+00,V19868,pickup
2015-02-01 00:02:00+00,V15854,pickup
2015-02-01 00:04:00+00,V15173,pickup
2015-02-01 00:04:00+00,V17862,pickup
2015-02-01 00:04:00+00,V21183,pickup
2015-02-01 00:05:00+00,V14843,pickup
2015-02-01 00:05:00+00,V16936,pickup
2015-02-01 00:05:00+00,V21507,pickup
2015-02-01 00:07:00+00,V21289,dropoff
2015-02-01 00:07:00+00,V17456,pickup
2015-02-01 00:07:00+00,V14679,pickup
2015-02-01 00:08:00+00,V21507,dropoff
2015-02-01 00:09:00+00,V18978,pickup
2015-02-01 00:10:00+00,V19868,dropoff
2015-02-01 00:10:00+00,V16496,pickup
2015-02-01 00:13:00+00,V17107,pickup
2015-02-01 00:13:00+00,V16984,pickup
2015-02-01 00:14:00+00,V17131,dropoff
2015-02-01 00:14:00+00,V15854,dropoff
2015-02-01 00:14:00+00,V14679,dropoff
2015-02-01 00:14:00+00,V15997,pickup
2015-02-01 00:15:00+00,V21044,dropoff
2015-02-01 00:15:00+00,V14843,dropoff
2015-02-01 00:15:00+00,V16936,dropoff
2015-02-01 00:15:00+00,V21516,pickup
2015-02-01 00:16:00+00,V15815,pickup
2015-02-01 00:16:00+00,V18727,pickup
2015-02-01 00:16:00+00,V14982,pickup
2015-02-01 00:16:00+00,V16391,pickup
2015-02-01 00:16:00+00,V15947,pickup
2015-02-01 00:17:00+00,V21183,dropoff
2015-02-01 00:17:00+00,V18978,dropoff
2015-02-01 00:17:00+00,V16917,pickup
2015-02-01 00:18:00+00,V15924,pickup
2015-02-01 00:18:00+00,V21321,pickup
2015-02-01 00:19:00+00,V17862,dropoff
2015-02-01 00:19:00+00,V16861,pickup
2015-02-01 00:20:00+00,V21289,pickup
2015-02-01 00:21:00+00,V15947,dropoff
2015-02-01 00:21:00+00,V21321,dropoff
2015-02-01 00:21:00+00,V16780,pickup
2015-02-01 00:21:00+00,V17341,pickup
2015-02-01 00:22:00+00,V16984,dropoff
2015-02-01 00:22:00+00,V16983,pickup
2015-02-01 00:22:00+00,V14958,pickup
2015-02-01 00:23:00+00,V17107,dropoff
2015-02-01 00:23:00+00,V16391,dropoff
2015-02-01 00:23:00+00,V16861,dropoff
2015-02-01 00:23:00+00,V15706,pickup
2015-02-01 00:23:00+00,V14884,pickup
2015-02-01 00:23:00+00,V21400,pickup
2015-02-01 00:23:00+00,V19936,pickup
2015-02-01 00:23:00+00,V17105,pickup
2015-02-01 00:23:00+00,V19261,pickup
2015-02-01 00:24:00+00,V14982,dropoff
2015-02-01 00:24:00+00,V20732,pickup
2015-02-01 00:24:00+00,V19766,pickup
2015-02-01 00:24:00+00,V16196,pickup
2015-02-01 00:25:00+00,V14958,dropoff
2015-02-01 00:26:00+00,V15173,dropoff
2015-02-01 00:26:00+00,V15997,dropoff
2015-02-01 00:26:00+00,V17627,pickup
2015-02-01 00:27:00+00,V17456,dropoff
2015-02-01 00:27:00+00,V16496,dropoff
2015-02-01 00:27:00+00,V21516,dropoff
2015-02-01 00:27:00+00,V18727,dropoff
2015-02-01 00:28:00+00,V19261,dropoff
2015-02-01 00:28:00+00,V16196,dropoff
2015-02-01 00:28:00+00,V16731,pickup
2015-02-01 00:29:00+00,V17105,dropoff
2015-02-01 00:30:00+00,V21289,dropoff
2015-02-01 00:30:00+00,V17505,pickup
2015-02-01 00:30:00+00,V18324,pickup
2015-02-01 00:31:00+00,V16983,dropoff
2015-02-01 00:31:00+00,V17627,dropoff
2015-02-01 00:31:00+00,V18474,pickup
2015-02-01 00:32:00+00,V16917,dropoff
2015-02-01 00:32:00+00,V14884,dropoff
2015-02-01 00:32:00+00,V21400,dropoff
2015-02-01 00:32:00+00,V19936,dropoff
2015-02-01 00:32:00+00,V19766,dropoff
2015-02-01 00:32:00+00,V19705,pickup
2015-02-01 00:32:00+00,V15525,pickup
2015-02-01 00:32:00+00,V20142,pickup
2015-02-01 00:32:00+00,V15196,pickup
2015-02-01 00:33:00+00,V15924,dropoff
2015-02-01 00:33:00+00,V16780,dropoff
