trip_duration,pickup_time,dropoff_time,vehicle_id
801,2015-02-01 00:00:00+00,2015-02-01 00:14:00+00,V17131
379,2015-02-01 00:00:00+00,2015-02-01 00:07:00+00,V21289
2474,2015-02-01 00:01:00+00,2015-02-01 00:42:00+00,V18903
818,2015-02-01 00:01:00+00,2015-02-01 00:15:00+00,V21044
544,2015-02-01 00:01:00+00,2015-02-01 00:10:00+00,V19868
717,2015-02-01 00:02:00+00,2015-02-01 00:14:00+00,V15854
1306,2015-02-01 00:04:00+00,2015-02-01 00:26:00+00,V15173
913,2015-02-01 00:04:00+00,2015-02-01 00:19:00+00,V17862
759,2015-02-01 00:04:00+00,2015-02-01 00:17:00+00,V21183
585,2015-02-01 00:05:00+00,2015-02-01 00:15:00+00,V14843
581,2015-02-01 00:05:00+00,2015-02-01 00:15:00+00,V16936
204,2015-02-01 00:05:00+00,2015-02-01 00:08:00+00,V21507
1169,2015-02-01 00:07:00+00,2015-02-01 00:27:00+00,V17456
419,2015-02-01 00:07:00+00,2015-02-01 00:14:00+00,V14679
527,2015-02-01 00:09:00+00,2015-02-01 00:17:00+00,V18978
1013,2015-02-01 00:10:00+00,2015-02-01 00:27:00+00,V16496
587,2015-02-01 00:13:00+00,2015-02-01 00:23:00+00,V17107
525,2015-02-01 00:13:00+00,2015-02-01 00:22:00+00,V16984
670,2015-02-01 00:14:00+00,2015-02-01 00:26:00+00,V15997
711,2015-02-01 00:15:00+00,2015-02-01 00:27:00+00,V21516
1559,2015-02-01 00:16:00+00,2015-02-01 00:42:00+00,V15815
683,2015-02-01 00:16:00+00,2015-02-01 00:27:00+00,V18727
522,2015-02-01 00:16:00+00,2015-02-01 00:24:00+00,V14982
389,2015-02-01 00:16:00+00,2015-02-01 00:23:00+00,V16391
276,2015-02-01 00:16:00+00,2015-02-01 00:21:00+00,V15947
907,2015-02-01 00:17:00+00,2015-02-01 00:32:00+00,V16917
946,2015-02-01 00:18:00+00,2015-02-01 00:33:00+00,V15924
144,2015-02-01 00:18:00+00,2015-02-01 00:21:00+00,V21321
257,2015-02-01 00:19:00+00,2015-02-01 00:23:00+00,V16861
602,2015-02-01 00:20:00+00,2015-02-01 00:30:00+00,V21289
764,2015-02-01 00:21:00+00,2015-02-01 00:33:00+00,V16780
733,2015-02-01 00:21:00+00,2015-02-01 00:34:00+00,V17341
559,2015-02-01 00:22:00+00,2015-02-01 00:31:00+00,V16983
159,2015-02-01 00:22:00+00,2015-02-01 00:25:00+00,V14958
977,2015-02-01 00:23:00+00,2015-02-01 00:39:00+00,V15706
529,2015-02-01 00:23:00+00,2015-02-01 00:32:00+00,V14884
522,2015-02-01 00:23:00+00,2015-02-01 00:32:00+00,V21400
506,2015-02-01 00:23:00+00,2015-02-01 00:32:00+00,V19936
345,2015-02-01 00:23:00+00,2015-02-01 00:29:00+00,V17105
285,2015-02-01 00:23:00+00,2015-02-01 00:28:00+00,V19261
657,2015-02-01 00:24:00+00,2015-02-01 00:35:00+00,V20732
505,2015-02-01 00:24:00+00,2015-02-01 00:32:00+00,V19766
259,2015-02-01 00:24:00+00,2015-02-01 00:28:00+00,V16196
281,2015-02-01 00:26:00+00,2015-02-01 00:31:00+00,V17627
548,2015-02-01 00:28:00+00,2015-02-01 00:37:00+00,V16731
511,2015-02-01 00:30:00+00,2015-02-01 00:38:00+00,V17505
265,2015-02-01 00:30:00+00,2015-02-01 00:35:00+00,V18324
1095,2015-02-01 00:31:00+00,2015-02-01 00:49:00+00,V18474
709,2015-02-01 00:32:00+00,2015-02-01 00:44:00+00,V19705
443,2015-02-01 00:32:00+00,2015-02-01 00:39:00+00,V15525
426,2015-02-01 00:32:00+00,2015-02-01 00:39:00+00,V20142
251,2015-02-01 00:32:00+00,2015-02-01 00:36:00+00,V15196
1101,2015-02-01 00:34:00+00,2015-02-01 00:52:00+00,V14663
748,2015-02-01 00:35:00+00,2015-02-01 00:48:00+00,V17299
301,2015-02-01 00:35:00+00,2015-02-01 00:40:00+00,V19756
541,2015-02-01 00:36:00+00,2015-02-01 00:45:00+00,V21592
502,2015-02-01 00:36:00+00,2015-02-01 00:44:00+00,V19244
428,2015-02-01 00:36:00+00,2015-02-01 00:43:00+00,V17886
437,2015-02-01 00:38:00+00,2015-02-01 00:46:00+00,V17109
863,2015-02-01 00:40:00+00,2015-02-01 00:54:00+00,20150
